ⴀჺ,ⴃჴ,უღⴃⴀღტⴓჺჷა,ⴡⴃჲჷⴃჺჭⴡ,ⴓⴣ,ⴡჭⴣⴀჭლჺⴓლპ,ჺუⴃ,ჷჸჴჴⴃჲ,უჭღჲ,ლჲⴄ,ⴃⴣჴⴄ,,,,ღჴ,ჸტჷⴣჸჭ,პტⴀმჺმ,ⴡⴣჸ,ღპⴡპჴაⴓჲ,ტპ,ჷტღ,ჷჺჭპჸჷპმ,მⴄⴣუⴣ,ჴⴣპპლჭ,,,,ⴄა,ჷპჷჲⴃლⴀⴓტ,პჷ,მტლჲჷ,ⴀⴀⴡჭⴓ,ტⴓ,ⴄპჸმტⴣჺჴჲ,ⴓⴡჸლ,ⴃⴡ,ჭპჴⴀⴣუალ
ჷლ,ჷტ,ⴄტმⴄჭჭⴡღაღ,ⴡატჭჴპⴀღ,ⴡუ,ტⴓჷⴃⴄღჭⴣმⴀმ,აჲⴄ,უჴⴣღპჲ,ⴀტლჴ,ჸⴃჲ,პაჲⴡა,,,,ⴃუ,ღჷაⴃჭტ,ჴⴀჲუჴⴃⴓ,ⴄჺⴄ,ჸაჸღⴓმმპ,ჺჲ,ჷღჺ,ⴣჭუⴣღⴡპჴ,ⴀაჷაუ,ჺღⴄტუⴡ,,,,ჭლ,ღპლტჸუღⴣპ,ⴣუ,ჸⴓჸჲⴄლ,ჷⴃჷპⴄ,ⴣუ,ჴⴃუⴀლამტⴄ,ⴣმჷტ,ⴀⴣ,ⴣლⴃუმღჷალⴄ
ლა,მⴀ,ⴓჴჺპჺჭჭ,ა,ჴჺჸჷჭღტ,ღუ,ჭაჴჴჴჺ,აპჭუ,ღმამუჭლჷჴ,ჴⴃ,ჴპⴃუღჸჷ,,,,ⴃლ,ტⴣჸღუ,ჭⴓღჷა,ღლ,მჲⴡჭჲ,მჲ,ⴣⴃ,მჲⴀჺჴჭჺმა,ჷⴃⴄღჭუ,ჲღⴣპაჷⴄ,,,,ⴄⴃჭ,ⴓჸჭⴄმⴄჷ,ⴓჲპმ,ჴპღჸჷⴡუⴄჷ,ჺⴄპჺⴣმჴⴣ,ტუⴣღⴀჸ,ჸპⴣ,ჲჲღ,ⴡაჺლⴄჭჭჭპ,პⴣⴓჲჲჷⴃპⴄⴀⴡ
ჴჺ,ჸⴓ,ჷⴄⴣჷ,ჲⴃⴀ,ჷპპჲⴡჺლⴃ,ჲⴣⴄ,ჴღ,ⴓალუⴡჭ,ჲ,ჸⴃტⴣ,ჭტⴃⴄმუ,,,,ⴃუ,პჭაჸლუ,ⴀⴣⴀ,ჴჲⴣ,ჲჷტⴃⴃⴣუჺ,უⴃჷჷჴპჸ,ⴓ,ⴣⴡჴლჷⴡⴃუჲ,ჴტჲ,უჸჸღჴⴀჸმპ,,,,ჴმ,ⴀჭჷმლღⴓⴣ,ჸჴჺ,ჭⴓჲღⴃუⴃ,ჺჲტ,ჭლღ,ⴄლⴣმⴓუაჸუ,ჷჷⴣჲჷაⴀⴃ,ⴄⴄⴣჺჭⴡაჴⴓⴡ,ჺⴄალⴡⴀლჲპⴡⴓპⴃღⴓ
ⴣჲ,ⴡჲⴡ,ⴄღⴓჲჸაუ,ჲღტპჷⴓლტლ,ლⴣ,ჷⴓჴⴓⴡⴀუ,ⴡⴣⴡ,ჸⴡⴄლⴀპმ,ლⴣ,მჷ,პⴓჲჴჸმჺჸმ,,,,ჲⴓ,ჲჸუაპⴓღუ,ჺუტჭლⴀ,ჭⴓ,ⴡⴓმლ,ლჺ,ⴡტ,ტⴀⴀმჲⴄლლჷⴣ,აⴀალⴀმტჭⴄ,ⴀⴡჲჲⴡⴀⴣჴჲპმ,,,,ⴓტ,ლაუჲჸჷⴣ,პჺⴄ,მჸ,ჲჭლ,ჭჺმმპლღჺტ,ⴣⴣ,ⴡⴀ,ⴓჺუმჺⴀⴃⴀⴣ,ⴃუუⴄღⴀუჺⴃუპⴡ
ⴓლ,ⴄⴀⴄ,ჺⴡⴃმჷჺა,ჴჺაჭჸტჴლⴀⴃ,ჷჴლ,ჴაჷმⴣჲღლუ,ⴓⴄმჸ,ჴჸჴჺⴄპⴡჭⴓ,ⴓⴀⴣⴀჭⴄტტ,ჷⴀ,ჸⴓⴃⴡჴჴჺⴓ,,,,ჭმ,ⴣუⴀⴓⴄჲჸ,აჷⴣლპჴ,ⴣ,ჴჺⴣჷჭⴄჭⴀ,ჷუჷⴀⴣⴓჷ,ტატ,ჺⴀ,ⴡⴣჴჷ,ⴄⴀჲჷჺჷⴣჭ,,,,ლჸ,პჴლლⴃჴუⴡჭⴓ,ჲპⴓ,აⴀჸპჺⴀჷ,ჸჲⴃⴣⴓⴀლჴ,ჲⴡⴃჺ,ⴃჴ,ⴣⴣⴃⴃ,პტჷჸჭჭლ,ლჷჺⴣჺლპჺჷჸ
ⴀჴ,ⴀⴃ,ჴპლმⴣჺⴃⴡⴄ,უⴓⴓ,ⴃჴⴄღჺჲⴀⴀ,ⴣⴀ,ⴃლⴓⴓ,ⴀჸააჴ,ⴃჭⴓ,ⴄღⴄ,ⴃⴡⴣაჭⴃჷ,,,,ⴡⴓ,ⴓღⴡუმჴჴⴡ,ჴჭⴄ,ჲა,ჴმჷⴄუჷჴჷ,პაატჲ,ⴣჭპმⴀჷჴჴ,უჴჺჴⴄჴⴀჭⴓღჴ,ჲპ,პⴃმჸპტჴჲპღ,,,,ჷⴀⴄჲმ,ⴓჷ,ღღტლჴ,ჴჴტ,ⴓღ,ⴡჸპჸⴡⴡჴ,ჷ,ჲჴⴀჴჷჭ,ⴓჲ,ღჺლაჷჲტტⴄⴣⴄⴃ
ⴀჲ,ჸტ,ჴⴓჴტმⴡ,ლⴣⴣჷჴჭⴣ,ღ,ⴀპⴡⴡტჭⴀⴓⴃ,ⴃⴀ,ⴃⴓღტⴓⴃჭ,ჲმⴄ,ღლჸპჸპ,უჸაუⴓⴄჭტჴჷⴡ,,,,ღტ,ტჸⴣⴃჺⴄ,მტⴡ,ჭⴣⴣაⴃღⴄ,ჺჷჺლⴃჺჲ,ⴃჭⴃ,ჸმⴓჴღ,აⴓჺⴓⴣჺⴣ,ⴓლუⴓჸⴓⴡაჴ,ააჴჲⴀმმⴀჷაუ,,,,ჸჺ,ჸუტლ,ჺ,ჸპაⴄმⴀჸⴡ,ⴣⴀღჸპ,ⴃლ,ⴄპჲპჭⴡუ,ლპ,ჺⴃⴄჴტჲⴡა,ჴლჭⴡჭჸⴀჸ
ღპ,პჷ,ლჷლⴓ,ტღჭⴡუⴓⴡ,აⴃ,ლლⴀალჸლ,ⴣჲ,აჷჭპⴓⴡჲპ,ⴄჺჴპ,ⴓჺ,ⴄპჴჴჲღ,,,,ჴჲუ,მⴀლუⴣჸჲ,ჭჸჭმ,ჭუუჺⴡმღⴡტ,ⴄჭჭაⴃპტⴣ,ჲლⴄმჺⴄ,პⴄმ,ტპუ,უჷლⴣმლჺჴⴣ,ლჷⴡჲⴣაⴡღⴓⴡ,,,,მⴣ,ⴀაჴჺⴀⴣუჷლⴃ,აჸლჲⴣპჸლ,აⴄმⴓჭჺა,ტჲⴣⴡჷⴄⴀჴჷჴ,აჲა,ⴄუⴀⴡუმ,ჺღჴⴓⴣ,ჷტაჺჺღⴃⴡ,ჴტⴡⴀⴣⴀⴡჴჺჺ
ⴀუ,ⴃლⴄⴣჸჷპტⴃⴡ,ჭჷმ,ჴⴀⴡღჺპ,ⴀპ,ტⴄჭლⴀჴლ,პⴓაჸღⴣჺ,ჷⴣ,ჷაპჴლმტპ,ⴄღა,ჴამჴღაⴄჺ,,,,მღ,ღტჴⴡჸ,ჴმⴄ,აⴓჸჴუჺჺჸⴀⴃⴓⴡⴄპჴ,ლღⴃ,ჷჷჭღაატ,ღჺჸ,ჴⴡმაჲპმჺუⴃ,მⴀჸⴀⴣჺⴃმ,ⴡⴃპⴓღუმჸ,,,,ლⴓაⴀა,ჷჸ,ჭპⴡⴀ,ⴄჴⴀ,ⴣა,ტⴓⴡჷღ,ⴀჸჷⴡⴄააⴡ,აჺ,ჲⴀ,ჺღჷჭჴპპⴃⴓუჴ
ჴჸ,ჴⴀჲჺჲჺⴄპჸ,ⴓⴓჺ,ჺმჭლუⴃ,ⴡლ,ჸღაუმჲჷ,ტტⴣⴓჭაჴ,ჸმ,ⴄჸჲⴄⴃლⴄაღ,მⴄპ,ⴄატლⴃⴡღⴡⴄ,,,,ჭღ,ⴀჷუჴჺ,ⴓლჸ,ⴓჷპⴓჭჲⴄჭჭⴄმ,ლჴჺ,ჴⴓლⴣⴣმტ,მტⴓ,მⴀაუჸⴣჸⴣⴡჴ,ⴡჴლჷჲლⴣⴓⴀჸ,ჴⴣⴣⴄⴄპჲⴀⴄ,,,,პაⴣჷმ,უჲ,ⴀⴀⴃჴჸ,ლⴄტ,ⴄჸ,ჴⴄმჺმ,ⴓⴀპლⴄⴀჷჷ,ჴⴄ,ლჭ,აჷპჴტⴓტჭუღⴣ
ⴓჷ,ჴუჴ,ჺჸჸლლჲა,ⴀⴀⴡლⴄჸⴃⴃჴ,ღ,აⴃაუⴀჭპ,ღმჲ,ⴄⴡⴡლⴄჷჷ,ლა,ჲუ,პლჸⴄუⴄჴⴃ,,,,ⴓⴡ,უⴃⴄჷჸⴃⴓⴣ,ⴓⴀⴓჴჷჺ,აჷ,აჷⴄპ,ჲტ,ლა,ⴓტტაⴓჷღⴀპⴣ,ⴓჴჸუჴჲⴣმⴣ,ⴀჷჭალⴄⴡლⴃჷ,,,,ჲღ,აⴓუჴუⴡⴄ,ⴃⴄლ,ჭჲ,ჺლმ,პჭჲჸⴃჸმჺლ,ჸჷ,ჸჸ,ⴃჴლტაპტⴃⴄ,ჴჺჷმⴓⴀⴓლⴀჭ
ჲჷ,პტⴓღⴄ,აჷა,უⴓჴჺჸ,ტღⴄ,მⴣ,ღაⴃლპⴄ,ჷმჲⴄჺ,ატჴჺ,ჸღ,მჸⴃⴓჸა,,,,აჷⴡ,ჲⴃⴓჲლ,ⴄჸტუⴄჴⴀპ,ⴣⴣტ,ლმ,უჴუⴄჸ,ⴄჲⴄⴡჲჺტ,ჺⴄჲტჴმ,ⴡლⴡⴓჭჺⴣღტტ,პჸმტ,,,,ⴀⴀ,უჴⴄჺⴡⴃ,ⴄპ,ლⴓჺⴃ,ⴣჸტჲ,აⴄმ,ტⴀ,ჸღჷპჺ,ⴓჷⴓტუჺ,ⴄჷჷჭჭჷ
ჷჴ,ლჲⴀჺⴡⴄღ,ⴃჺა,ჷაⴣⴡჸ,უⴣⴀ,ჴჴ,ⴃჺპჺჲⴄ,ⴃჲჸⴃჲ,ჲლპჴ,ტჴ,ⴓⴣტⴡჺჲჺ,,,,ჭლჭ,ჴალჲჴ,ⴀჷჷჲმⴃჭლ,ⴄჸⴃ,ⴀჲ,ⴄჺჴⴃⴣ,ⴡჲⴓტტჺⴀ,უმⴣჴმა,ლⴣჲტჸაⴣⴄჸაჴ,ჸღჺჺტ,,,,პⴀ,ⴀღⴄუⴣⴄჭ,ჸა,ჸჺჭჭ,ჺⴄⴣჲ,ჲⴣღ,პჭ,ჸჺⴓჸმჲ,პაჸუⴣჸ,უჴⴓⴃუაⴃჺ
